No,Steam ID,Total Game,Total Playtime,Total Achievement,Genres Dominan,Dominant Topic
79,76561198064800033,544,0.5288807635883443,28392,"Action, Free To Play","[257, 115, 333]"
80,76561198068123705,401,0.2028835999829084,1120,"Action, Free To Play","[257, 115, 333]"
81,76561198070531704,60,0.0,532,Action,"[64, 141, 322]"
82,76561198072087471,106,0.0,1494,RPG,[]
83,76561198078077588,169,0.04321737484968534,845,RPG,"[55, 107, 333]"
84,76561198078657415,46,0.03727244241244108,95,"Action, Free To Play","[257, 115, 333]"
85,76561198079460361,112,0.08194209604268023,744,Action,"[68, 153, 262]"
86,76561198082086866,303,0.09756566538276067,1196,"Indie, Strategy","[23, 47, 96]"
87,76561198084163272,94,0.10306804701822497,590,"Casual, Indie, Simulation","[65, 3, 33]"
88,76561198084472832,286,0.2020295278033813,2520,Action,"[52, 138, 322]"
89,76561198086877572,204,0.0760459967973565,715,"Action, Free To Play","[257, 115, 333]"
90,76561198088342032,881,0.15585927087975032,5749,"Action, RPG","[52, 66, 134]"
91,76561198090877508,218,0.16951425217053367,1926,"Action, Casual, Massively Multiplayer, Free To Play",[606]
92,76561198095282532,78,0.13232675916487105,506,"Action, Free To Play","[257, 115, 333]"
93,76561198103129312,106,0.06557127713039888,710,"Action, Adventure",[]
94,76561198105784816,765,0.15508455263709411,2750,"Action, Indie, RPG","[0, 4, 47]"
95,76561198107047766,1136,0.15115704144106754,3392,Action,"[151, 192, 317]"
96,76561198108773562,619,0.374706237829853,4851,"Action, Free To Play","[257, 115, 333]"
97,76561198116934331,341,0.36035894430777937,3021,RPG,"[39, 54, 234]"
98,76561198118915505,434,0.15757809749953713,2117,"Action, Free To Play","[257, 115, 333]"
99,76561198121696622,1114,0.3386714116251483,4009,"Casual, Indie, Simulation, Strategy","[72, 75, 189]"
100,76561198122292277,558,0.3928360690094391,2917,Action,"[257, 39, 42]"
101,76561198127605984,462,0.34008096136277166,4439,"Free To Play, RPG, Strategy",[]
102,76561198128879258,290,0.36981223637706556,1537,"Action, Simulation, Strategy","[22, 201, 208]"
103,76561198133583400,309,0.06770060776976779,1283,"Simulation, Strategy","[12, 14, 19]"
104,76561198146303292,642,0.0,21597,Action,"[127, 262, 341]"
105,76561198147075448,494,0.15740311189515516,3331,"Casual, Indie, Free To Play",[317]
106,76561198150437413,467,0.1018065228936108,2220,"Action, Adventure, Indie, RPG","[333, 43, 49]"
107,76561198151246013,189,0.10667966850401553,1529,"Action, RPG, Free To Play","[52, 165, 171]"
108,76561198159956177,490,0.19666499819927605,3585,"Action, Free To Play","[257, 115, 333]"
109,76561198163746112,525,0.2845230319714977,1532,Action,"[5, 20, 125]"
110,76561198164061899,75,0.12459890654344426,1965,"Action, Free To Play","[257, 115, 333]"
111,76561198165372229,99,0.05303488114204559,823,"Adventure, Indie, RPG, Simulation","[92, 218, 362]"
112,76561198166756662,115,0.12571291373413176,1919,"Action, Adventure, Indie, Massively Multiplayer, RPG","[13, 77, 167]"
113,76561198170036259,464,0.35508648561760764,5628,"Casual, Indie, Simulation","[65, 3, 33]"
114,76561198171538267,238,0.05553503883256116,892,"Action, Adventure, Free To Play, Massively Multiplayer",[105]
115,76561198184561219,98,0.07331337276613582,1052,"Casual, Indie, Simulation","[65, 3, 33]"
116,76561198188851263,83,0.04573228423359358,902,"Casual, Indie, Simulation","[65, 3, 33]"
117,76561198192893105,447,0.24387143441397122,5032,"RPG, Simulation, Strategy, Free To Play","[96, 30, 357]"
118,76561198196326681,139,0.015830601726660277,409,"Action, Adventure","[160, 257, 104]"
119,76561198201248007,1605,0.3160677479149245,7635,"Action, Free To Play","[257, 115, 333]"
120,76561198222960572,218,0.036001253385259294,1376,"Action, Free To Play","[0, 236, 260]"
121,76561198227299476,304,0.061365518476241644,1394,Strategy,"[19, 70, 147]"
122,76561198230599596,131,0.017873965601085725,557,"Action, Massively Multiplayer, Simulation, Strategy","[333, 37, 60]"
123,76561198242204348,95,0.2872129269597879,1962,"Action, Free To Play","[257, 115, 333]"
124,76561198242714680,516,0.19485817009821577,13921,Free To Play,[]
125,76561198245326948,81,0.14515666298383012,1124,"Action, Adventure",[]
126,76561198245411354,138,0.0,1474,Action,"[127, 262, 341]"
127,76561198247877854,167,0.10152420600282012,938,"Action, Free To Play","[257, 115, 333]"
128,76561198253517283,254,0.0,3057,"Indie, Strategy",[]
129,76561198262826340,178,0.21121474599618698,1236,"Action, Free To Play","[257, 115, 333]"
130,76561198264068685,174,0.5659217570182453,1112,"Action, Adventure, Indie, Massively Multiplayer, RPG","[13, 77, 167]"
131,76561198266098426,507,0.1301404564682615,3669,"Action, Free To Play","[257, 115, 333]"
132,76561198271448867,94,0.08562340656277406,1062,"Action, Free To Play",[]
133,76561198276007139,566,0.0,3084,Action,"[127, 262, 341]"
134,76561198283006085,372,0.23971806970531206,9321,"Action, Free To Play","[257, 115, 333]"
135,76561198302640830,223,0.1749611877860048,3271,"Action, Adventure, Indie, Massively Multiplayer, Early Access",[182]
136,76561198306161977,159,0.04952804754725121,1982,"Action, Simulation, Early Access",[510]
137,76561198328154513,291,0.2521954589200947,2097,"Action, Free To Play","[257, 115, 333]"
138,76561198334189003,137,0.0,9125,Action,"[257, 21, 35]"
139,76561198336656213,1207,0.1610137160227807,1329,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","[322, 16, 35]"
140,76561198342350413,69,0.0,338,"Action, Strategy",[]
141,76561198348256758,115,0.0,243,Action,"[257, 21, 35]"
142,76561198350155133,301,0.08965214489621931,2596,Action,"[5, 20, 125]"
143,76561198352793022,70,0.14262903662285925,851,"Action, Adventure, Casual, Free To Play, Indie, Massively Multiplayer, RPG",[]
