K,Reconstruction_Error,RSS,Silhouette_Score,Explained_Variance,MMD,Linear_Separability,n_iter
2,9.999047963552425,99.980960177422,0.8720403294225343,0.3783961809788563,-0.010827860401344758,0.5287878787878787,12
3,8.804671602736173,77.52224203202883,0.8085542983651669,0.5180270161370932,-0.01079367287666999,0.4242424242424242,20
4,8.043234541463413,64.69362188899,0.8034821294262277,0.597785394727713,-0.014590567249195496,0.4590909090909091,20
5,7.104292386321193,50.4709703103412,0.7823373819715174,0.6862107761424001,-0.0076801354402002975,0.47575757575757577,21
6,6.58882265906306,43.41258403258283,0.6959246934888896,0.7300943301570358,-0.002284623225333071,0.5954545454545455,35
7,6.2371542568080445,38.90209322321871,0.7502501417479567,0.7581370525692342,-0.0007442363695309151,0.5424242424242424,69
8,5.944554371774565,35.33772667898411,0.6928808962090085,0.7802975104439702,-0.0012328654095186131,0.5424242424242424,93
9,5.650150210259204,31.924197398492144,0.7391569904008511,0.8015201795734619,-0.0018685873837560596,0.509090909090909,58
10,5.425953231177447,29.440968466924986,0.7124913087491589,0.816958964964468,0.029316301981847204,0.7318181818181817,60
