steam_id,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
76561197960269409,0.6881729605625097,0.1440869825413135,0.1592894766859897,0.0,0.008450580210187113
76561197962437769,0.0,0.0,0.0,1.0,0.0
76561197963260222,0.0,0.0,0.0,1.0,0.0
76561197970698176,0.7142012757266275,0.0,0.0,0.0,0.2857987242733726
76561197977935089,0.0,0.0,0.0,0.47320521504216734,0.5267947849578327
76561197983588742,0.0,0.5272613767634806,0.321321562599486,0.05017517908674373,0.10124188155028972
76561197985705149,0.7060119924843015,0.13323612983850858,0.1509985558467041,0.0,0.009753321830485837
76561197986997483,0.5873777542925076,0.0,0.14663926517370549,0.2659829805337869,0.0
76561197992783558,0.0,0.0,0.0,1.0,0.0
76561197996907347,0.0,0.0,0.0,1.0,0.0
76561197996986882,1.0,0.0,0.0,0.0,0.0
76561197998141809,0.0,0.0,0.04524814733720988,0.0,0.9547518526627902
76561197998383791,0.0,0.0,1.0,0.0,0.0
76561197999259031,0.024760506908834516,0.0,0.0,0.9752394930911655,0.0
76561197999482693,0.41381683278914305,0.2542845172455059,0.0,0.331898649965351,0.0
76561198002458772,1.0,0.0,0.0,0.0,0.0
76561198003412713,0.12240045205536673,0.7960709668791207,0.0,0.08152858106551254,0.0
76561198004559773,0.0,1.0,0.0,0.0,0.0
76561198006756264,0.0,0.0,0.0,1.0,0.0
76561198006906614,0.0,0.040214326458127135,0.29049320788647337,0.5736666392431907,0.09562582641220878
76561198009353718,0.0,0.0,1.0,0.0,0.0
76561198011413162,0.0,1.0,0.0,0.0,0.0
76561198011778207,0.0,0.0,0.019491300027054823,0.0,0.9805086999729452
76561198011803825,0.0,0.0,1.0,0.0,0.0
76561198022439862,0.0,0.0,0.0,1.0,0.0
76561198025583859,0.0,0.04630059655569789,0.2870492457671376,0.5504651568311864,0.11618500084597819
76561198025679656,0.0,0.0,1.0,0.0,0.0
76561198031720187,0.0,0.0,0.00020470483332099757,0.0,0.9997952951666791
76561198032898393,0.5888557510310795,0.0,0.0,0.41114424896892054,0.0
76561198037222425,1.0,0.0,0.0,0.0,0.0
76561198037246903,0.0,0.07841364878252345,0.2905785363973688,0.4697170179369643,0.1612907968831434
76561198041304371,0.6878751073422982,0.0,0.1598326582958107,0.1207427602176355,0.03154947414425577
76561198045196300,0.0,0.0,0.9808817921488269,0.019118207851173043,0.0
76561198046731438,0.0,0.0,1.0,0.0,0.0
76561198048640355,0.0,0.0,0.9841917929187073,0.015808207081292706,0.0
76561198061669144,1.0,0.0,0.0,0.0,0.0
76561198064800033,0.0,0.0056348278306447425,0.9943651721693553,0.0,0.0
76561198068123705,0.0,0.0,0.0,0.0,1.0
76561198088342032,0.0,0.0,1.0,0.0,0.0
76561198105784816,0.0,1.0,0.0,0.0,0.0
76561198107047766,0.0,0.0,0.0,1.0,0.0
76561198108773562,0.0,0.0,1.0,0.0,0.0
76561198118915505,0.0,0.43085693825978005,0.0,0.0,0.5691430617402199
76561198121696622,0.0,0.0,0.0,1.0,0.0
76561198122292277,0.0,0.0,1.0,0.0,0.0
76561198147075448,0.0,0.0,0.0,0.0,1.0
76561198150437413,0.0,0.0,1.0,0.0,0.0
76561198159956177,0.0,0.0,1.0,0.0,0.0
76561198170036259,0.0,0.0,1.0,0.0,0.0
76561198192893105,1.0,0.0,0.0,0.0,0.0
76561198201248007,0.0,0.0,1.0,0.0,0.0
76561198336656213,0.0,0.5298774217432861,0.3170477235752445,0.04136525799133679,0.11170959669013254
76561198353192608,0.0,0.5639926178607655,0.3016295913528497,0.0,0.13437779078638487
76561198796747013,0.0,0.0,1.0,0.0,0.0
76561198829145577,0.0,0.0,1.0,0.0,0.0
76561198961717161,0.0,0.0,1.0,0.0,0.0
76561198975545285,0.0,0.0,1.0,0.0,0.0
76561199027285610,0.0,0.0,1.0,0.0,0.0
76561199122194203,0.0,0.0,0.8575653744375111,0.14243462556248887,0.0
