steam_id,total_game,total_playtime,total_achievement,dominant_topic,top_1_genre,top_2_genre,top_3_genre,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight
76561197960269409,0.1368715083798882,0.3606475989027615,0.2970359660220495,4,9,13,2,0.6881729605625097,0.1440869825413135,0.1592894766859897,0.0,0.008450580210187113
76561197962437769,0.1536312849162011,0.1872963317368841,0.0335261160310862,4,9,17,1,0.0,0.0,0.0,1.0,0.0
76561197963260222,0.1564245810055866,0.2726643090888089,0.3369781312127236,4,9,1,17,0.0,0.0,0.0,1.0,0.0
76561197970698176,0.0167597765363128,0.2305057482860298,0.0571118742092897,2,9,13,17,0.7142012757266275,0.0,0.0,0.0,0.2857987242733726
76561197977935089,0.1634078212290503,0.7335296985107781,0.1778420386770287,2,1,17,15,0.0,0.0,0.0,0.47320521504216734,0.5267947849578327
76561197983588742,0.2388268156424581,0.1913393636305729,0.426712452557383,3,1,2,9,0.0,0.5272613767634806,0.321321562599486,0.05017517908674373,0.10124188155028972
76561197985705149,0.0810055865921787,0.0159341723207394,0.0643412253750225,4,9,2,13,0.7060119924843015,0.13323612983850858,0.1509985558467041,0.0,0.009753321830485837
76561197986997483,0.2472067039106145,0.0426645907177188,0.1623893005602747,4,9,2,17,0.5873777542925076,0.0,0.14663926517370549,0.2659829805337869,0.0
76561197992783558,0.4469273743016759,0.5077389897275313,0.6491053677932406,4,9,1,17,0.0,0.0,0.0,1.0,0.0
76561197996907347,0.4175977653631285,0.0837847108990813,0.2137176938369781,4,9,1,17,0.0,0.0,0.0,1.0,0.0
76561197996986882,0.2150837988826816,0.2899843297013704,0.1913067052232062,4,17,9,13,1.0,0.0,0.0,0.0,0.0
76561197998141809,0.1815642458100558,0.5486147372336256,0.4146032893547804,2,9,1,2,0.0,0.0,0.04524814733720988,0.0,0.9547518526627902
76561197998383791,0.0949720670391061,0.6537341921117846,0.2486896801012109,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561197999259031,0.0432960893854748,0.2443438267353571,0.0962407373938189,4,17,9,1,0.024760506908834516,0.0,0.0,0.9752394930911655,0.0
76561197999482693,0.0041899441340782,0.2445168429286575,0.0869329477679378,4,17,1,13,0.41381683278914305,0.2542845172455059,0.0,0.331898649965351,0.0
76561198002458772,0.1131284916201117,0.2302856826349247,0.2623350804265317,4,9,13,17,1.0,0.0,0.0,0.0,0.0
76561198003412713,0.0642458100558659,1.0,0.1870594614133381,3,1,17,13,0.12240045205536673,0.7960709668791207,0.0,0.08152858106551254,0.0
76561198004559773,0.0446927374301676,0.3682635796949842,0.2379360202421832,3,1,2,13,0.0,1.0,0.0,0.0,0.0
76561198006756264,0.1662011173184358,0.3154436430041251,0.2372130851256099,4,17,9,1,0.0,0.0,0.0,1.0,0.0
76561198006906614,1.0,0.0140021982711434,0.2553768299295138,4,9,1,2,0.0,0.040214326458127135,0.29049320788647337,0.5736666392431907,0.09562582641220878
76561198009353718,0.0907821229050279,0.5215126755384396,0.3874028555937104,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198011413162,0.0418994413407821,0.6536612191908726,0.1496475691306705,3,1,2,13,0.0,1.0,0.0,0.0,0.0
76561198011778207,0.1284916201117318,0.6656377010130476,0.0923549611422375,2,1,2,9,0.0,0.0,0.019491300027054823,0.0,0.9805086999729452
76561198011803825,0.0391061452513966,0.2897827174199802,0.1801012109163202,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198022439862,0.2849162011173184,0.2749051656942369,0.215615398517983,4,9,17,1,0.0,0.0,0.0,1.0,0.0
76561198025583859,0.7262569832402235,0.0911478313736966,0.2022410988613772,4,9,1,2,0.0,0.04630059655569789,0.2870492457671376,0.5504651568311864,0.11618500084597819
76561198025679656,0.0879888268156424,0.0360273971969574,0.1377191397072112,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198031720187,0.0279329608938547,0.277440085752649,0.1162118199891559,2,1,9,2,0.0,0.0,0.00020470483332099757,0.0,0.9997952951666791
76561198032898393,0.0223463687150838,0.3464311951703823,0.0440086752213988,4,17,9,15,0.5888557510310795,0.0,0.0,0.41114424896892054,0.0
76561198037222425,0.2793296089385475,0.1121679960339569,0.2656786553406832,4,9,17,13,1.0,0.0,0.0,0.0,0.0
76561198037246903,0.1354748603351955,0.5703089181096691,0.8566781131393458,4,1,9,2,0.0,0.07841364878252345,0.2905785363973688,0.4697170179369643,0.1612907968831434
76561198041304371,0.0125698324022346,0.1230832395130747,0.0856678113139345,4,9,2,17,0.6878751073422982,0.0,0.1598326582958107,0.1207427602176355,0.03154947414425577
76561198045196300,0.5432960893854749,0.0932774210778534,0.4402674859931321,1,1,2,9,0.0,0.0,0.9808817921488269,0.019118207851173043,0.0
76561198046731438,0.085195530726257,0.3760752206886323,0.1424182179649376,1,1,9,2,0.0,0.0,1.0,0.0,0.0
76561198048640355,0.4650837988826816,0.2098345406135363,0.4883426712452557,1,1,2,9,0.0,0.0,0.9841917929187073,0.015808207081292706,0.0
76561198061669144,0.0321229050279329,0.5571906088967152,0.0075004518344478,4,9,17,13,1.0,0.0,0.0,0.0,0.0
76561198064800033,0.074022346368715,0.9061410422118588,1.0,1,1,2,9,0.0,0.0056348278306447425,0.9943651721693553,0.0,0.0
76561198068123705,0.0027932960893854,0.2978693527845058,0.0,2,1,2,9,0.0,0.0,0.0,0.0,1.0
76561198088342032,0.2472067039106145,0.0550768931836377,0.2851979034881619,1,1,9,2,0.0,0.0,1.0,0.0,0.0
76561198105784816,0.0544692737430167,0.1612454345365696,0.07834809325863,3,1,13,2,0.0,1.0,0.0,0.0,0.0
76561198107047766,0.2932960893854749,0.0,0.0710283752033255,4,9,1,17,0.0,0.0,0.0,1.0,0.0
76561198108773562,0.1047486033519553,0.4690850124374611,0.2255557563708657,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198118915505,0.0446927374301676,0.2072392015772768,0.0720224109886137,2,1,2,13,0.0,0.43085693825978005,0.0,0.0,0.5691430617402199
76561198121696622,0.1075418994413408,0.4207043081315428,0.110337972166998,4,9,17,1,0.0,0.0,0.0,1.0,0.0
76561198122292277,0.0516759776536313,0.7203403349139488,0.1642870052412796,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198147075448,0.0307262569832402,0.1137527104505106,0.0737393818904753,2,1,2,9,0.0,0.0,0.0,0.0,1.0
76561198150437413,0.0153631284916201,0.0688390914948292,0.0537682992951382,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198159956177,0.0474860335195531,0.2154357939751047,0.1722392915235857,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198170036259,0.138268156424581,0.3819035831978825,0.3430327128140249,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198192893105,0.0893854748603352,0.2984494014631369,0.283571299475872,4,9,17,13,1.0,0.0,0.0,0.0,0.0
76561198201248007,0.3337988826815642,0.1732658448950898,0.3146575094885234,1,1,9,2,0.0,0.0,1.0,0.0,0.0
76561198336656213,0.2793296089385475,0.0613540688758223,0.0217784203867702,3,1,2,9,0.0,0.5298774217432861,0.3170477235752445,0.04136525799133679,0.11170959669013254
76561198353192608,0.0516759776536313,0.0893294644312511,0.0490692210374118,3,1,2,9,0.0,0.5639926178607655,0.3016295913528497,0.0,0.13437779078638487
76561198796747013,0.0935754189944134,0.1103170913029097,0.1548888487258268,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198829145577,0.0027932960893854,0.06684084745243,0.0754563527923368,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198961717161,0.0055865921787709,0.1188384483604514,0.0483462859208386,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561198975545285,0.2681564245810056,0.1528941700644314,0.1944695463582143,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561199027285610,0.0097765363128491,0.2386074393637669,0.1848002891740466,1,1,2,9,0.0,0.0,1.0,0.0,0.0
76561199122194203,0.0,0.2957000038062077,0.0173504427977589,1,1,9,15,0.0,0.0,0.8575653744375111,0.14243462556248887,0.0
