steam_id,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
76561197960269409,1.0000000000000002,0.0,5.852312381129896e-17,0.0,0.0
76561197962437769,0.0,0.0,0.04708934667607945,0.8564878365030394,0.0
76561197963260222,0.008946661648825736,0.002404589495591559,0.08096700718823166,0.8435264492466585,0.0
76561197970698176,0.27394639862653264,0.0,0.0,0.26878379237419103,0.2633770345792644
76561197977935089,0.0,0.0,0.0,0.31684980016566533,0.28077065806924073
76561197983588742,0.0,0.9999999999999998,0.0,1.825497800707201e-18,1.1097728218647818e-17
76561197985705149,1.0047600877589293,0.0,0.0,0.0014416782090359722,0.01784756685465846
76561197986997483,0.4509385197097655,0.0,0.056769609488894826,0.38444239533731334,0.0
76561197992783558,0.028880546874048906,0.0,0.19592453152667147,0.6810070557269979,0.0
76561197996907347,0.0,0.0,0.13750886069587678,0.7026853272700183,0.0
76561197996986882,0.491805572945167,0.0,0.0,0.40936821288973335,0.0
76561197998141809,0.02891398256773945,0.06402351114016029,0.18064442167361866,0.0,0.6939380445967757
76561197998383791,0.020393861055672348,0.0,0.8787947011317593,0.04862155593269987,0.17700285325004053
76561197999259031,0.0,0.0,0.0,0.9999999999999998,0.0
76561197999482693,0.1857925448755028,0.0,0.0,0.7248698856523468,0.0
76561198002458772,0.5150714659394495,0.0,0.0,0.4547660346079373,0.0
76561198003412713,0.0,0.4124907896615533,0.0,0.3453491216345636,0.0
76561198004559773,0.19538797344074263,0.7559867512773965,0.0,0.0,0.0
76561198006756264,0.009475609353851807,0.0,0.07582466769464666,0.8391269153037311,0.0
76561198006906614,0.2540031136010435,0.15228121487556856,0.4196257404299139,0.16944030412548758,0.0
76561198009353718,0.017334170031053572,0.0,0.8950185649044857,0.0447437368781708,0.17420994077727717
76561198011413162,0.2121054215536895,0.7529662430641301,0.0,0.0,0.0
76561198011778207,0.03134442617043179,0.03303595178305455,0.11093398401152849,0.0,0.7899616989344872
76561198011803825,0.0,0.0,0.8330903996851248,0.05783862665595919,0.25687726601001015
76561198022439862,0.007230159778382106,0.0,0.10983509381776338,0.7602181147552982,0.0
76561198025583859,0.2685420405270896,0.1680924243606507,0.36740563737819315,0.19518777926139297,0.0
76561198025679656,0.0,0.0,0.83512098821184,0.038392621408672174,0.20991024036757597
76561198031720187,0.010826662446358317,0.0034808428648568234,0.00557946374976189,0.0016245913087328538,0.9973526643375293
76561198032898393,0.18292106772263766,0.0,0.0,0.7011239847137135,0.0
76561198037222425,0.47709613770960774,0.0,0.0,0.3871205703065579,0.0
76561198037246903,0.37015274471137616,0.21761287785157574,0.25510249295284765,0.2884568403749004,0.09058061078979596
76561198041304371,0.5345485292359512,0.0,0.0,0.537573020600689,0.01925663377668088
76561198045196300,0.0,0.0,0.9892738283543485,0.0,0.0
76561198046731438,0.00028002727104571725,0.0,0.8502736114870318,0.049078598077756455,0.20417491406228486
76561198048640355,0.0,0.0,1.0,0.0,0.0
76561198061669144,0.5519460720186385,0.0,0.0,0.525736092368082,0.0
76561198064800033,0.05985682377055532,0.02089368592818063,0.9855263473296331,0.039638517749726376,0.12328038850817921
76561198068123705,0.0,0.0,0.0,0.0040588968135246584,1.056545882008047
76561198088342032,0.0,0.0,0.9092969295250946,0.014002555244170618,0.09262456453748033
76561198105784816,0.17747745674115073,0.7361566684255619,0.0,0.0,0.0
76561198107047766,0.0,0.0,0.08971343821606079,0.7560342749928447,0.0
76561198108773562,0.008478591506086139,0.0,0.8733351029594296,0.044651868245466235,0.1761407141583534
76561198118915505,0.18944314217171565,0.0,0.0,0.0,0.652104896882546
76561198121696622,0.011627735350354359,0.0,0.038833459881852175,0.9045392752503647,0.0
76561198122292277,0.021998072680660483,0.0,0.8498927306845484,0.06137206945490431,0.22803059684455948
76561198147075448,0.0,0.0,0.0,0.0,0.9999999999999999
76561198150437413,0.0,0.0,0.7901132388455336,0.06042421355616423,0.3069853131591826
76561198159956177,0.0,0.0,0.83226454370177,0.05327975796554772,0.24820539855554197
76561198170036259,0.007006839474126009,0.0,0.9006434712811424,0.03513958783429252,0.14263824318583176
76561198192893105,0.527956259666404,0.0,0.0,0.47050729188231316,0.0
76561198201248007,0.0,0.0,0.9407176547019889,0.009555088872918779,0.05290057488861403
76561198336656213,0.0,0.9318827170349268,0.0,0.0,0.020714186544287336
76561198353192608,0.0,0.9832193234087957,0.0,0.016891557267071245,0.11954480572330976
76561198796747013,0.0,0.0,0.8434627509304219,0.03924976560767585,0.20150272792987056
76561198829145577,0.0,0.0,0.7865770818032618,0.06487192246654416,0.32714195652012495
76561198961717161,0.0,0.0,0.7860697820347112,0.06564604075549603,0.32289949716800015
76561198975545285,0.0,0.0,0.9040557151938323,0.015941953673323506,0.08777523393711112
76561199027285610,0.0,0.0,0.8165219004237334,0.06605285974911097,0.302504196206821
76561199122194203,0.0,0.0,0.6306162229348728,0.27499488810793465,0.05088308932978055
