Doc_id,X,Y,MRD,Cluster
1,17.112667,5.8190017,0.0029834449999999995,1
2,18.61222,6.726864,0.0027058567,2
3,19.02071,5.985852,0.004310401000000002,-1
4,18.525732,6.3112226,0.0023461330000000002,2
5,16.13822,5.6333356,0.003246618999999999,1
6,18.903873,5.992604,0.0033984859999999922,-1
7,17.242153,7.079109,0.001658440000000011,3
8,19.777102,6.800771,0.0021478639999999993,1
9,17.015455,7.1395774,0.0022210657999999998,1
10,19.448631,7.3609853,0.0028845717000000005,1
11,19.97762,6.2731705,0.0025584873,1
12,18.928732,8.049104,0.002230618,2
13,19.400143,4.2984896,0.0021297866999999996,2
14,18.165657,6.183726,0.003690479,-1
15,19.580873,4.285863,0.0024325419999999993,2
16,19.650265,6.7408595,0.008076758,-1
17,17.221048,1.7921352,0.0023285029999999957,2
18,17.914139,2.4643703,0.011210719999999993,-1
19,19.01233,5.6583486,0.0025165399999999977,2
20,19.38197,5.2620425,0.002082559999999997,2
21,17.136803,3.6365554,0.002121498000000001,2
22,18.652952,6.248536,0.002651751000000001,2
23,18.048761,4.984339,0.009680652000000005,-1
24,19.221415,5.631363,0.0024325540000000034,4
25,18.946344,4.5304914,0.0023799787000000003,2
26,16.931894,2.8267627,0.004967759999999988,-1
27,18.145313,7.1478024,0.003149337999999998,2
28,17.50374,4.2025676,0.0028158149999999993,2
29,16.274107,4.1454225,0.0026736730000000005,1
30,18.888775,7.34416,0.008662068000000002,-1
31,19.188547,4.692382,0.0022330610000000006,2
32,19.338276,4.322001,0.005787769999999998,-1
33,17.994398,4.8195157,0.002692916,1
34,18.100107,4.2699604,0.0023007800000000023,2
35,17.382515,3.4243479,0.0034320099999999992,-1
36,17.483892,2.7839074,0.0026175140000000013,2
37,16.317978,1.5377878,0.0018742100000000012,3
38,19.490427,4.5419583,0.002081880000000008,3
39,19.18106,6.5768404,0.002645520000000002,2
40,19.185862,6.309347,0.0027573109999999984,2
41,17.808285,3.3184414,0.003052922999999999,2
42,16.753506,2.2193763,0.0017258770000000007,2
43,19.348854,4.2739162,0.002182690000000001,4
44,16.22446,1.1999995,0.002712909000000003,2
45,16.227684,1.6444958,0.017966179999999998,-1
46,16.43998,3.2390528,0.0026675320000000002,1
47,16.549313,1.6791883,0.0030175129999999994,2
48,17.798449,2.9510274,0.0016124859999999963,2
49,16.08263,1.2656196,0.025544819999999996,-1
50,17.740936,2.686141,0.0022419189999999985,2
51,17.7538,4.784985,0.0020860899999999988,2
52,17.037989,1.6983327,0.001724493999999993,3
53,19.196926,5.9133554,0.0022670959999999997,2
54,19.062243,6.0455317,0.023322359999999986,-1
55,18.81851,4.6472416,0.002812969999999998,4
56,17.214281,7.8398314,0.0015905160000000002,3
57,17.02035,7.9505987,0.002399639999999998,2
58,17.215286,7.9171696,0.002295367999999999,2
59,16.794,5.552976,0.0024325540000000034,4
60,17.656898,2.4639328,0.0022810239999999996,2
61,16.26554,5.9633646,0.003078329999999997,2
62,19.759449,5.7097964,0.0024110399999999997,2
63,16.632631,5.7367153,0.001953233999999998,2
64,16.863531,6.365866,0.0027733070000000026,2
65,19.204391,8.006585,0.0036333989999999955,-1
66,16.78306,6.519255,0.00352947,2
67,17.857222,7.0654807,0.0028802299999999975,2
68,19.342487,5.9521356,0.0020310929999999977,2
69,17.543615,2.2418602,0.0023714949999999978,2
70,18.551668,7.7581415,0.003738916000000002,1
71,20.225113,6.1570945,0.002330985474,1
72,18.909733,6.5700274,0.003834129999999991,0
73,20.43017,5.784656,0.0026736730000000005,1
74,18.44192,7.095595,0.0023491150000000127,4
75,19.91352,4.739758,0.0027613739999999987,1
76,17.822603,7.1205587,0.0027826870000000024,2
77,17.826347,5.995655,0.0027187300000000025,4
78,16.468319,2.5970857,0.002047312999999995,2
79,16.819662,7.366381,0.001581810000000003,3
80,18.346405,5.9605165,0.0018870789999999998,2
81,17.750048,6.3027153,0.0020970799999999977,2
82,18.714254,8.072608,0.0032253360000000005,1
83,17.67692,6.101663,0.0026730650000000022,2
84,17.26192,6.594572,0.00482602,-1
85,18.308458,6.72459,0.003520103,1
86,18.173231,5.4876375,0.004520336,0
87,16.641209,2.7088027,0.007706739999999997,-1
88,19.712683,4.359215,0.0016576539999999945,3
89,20.008738,4.999617,0.002047238,2
90,18.224363,6.1046233,0.027411989999999997,-1
