Term,Tf,Df,Idf,c-TF-IDF
half,1.3080296233438373,10,4.47703545805366,5.856095003894933
dead,1.061598117609372,3,5.48863636973214,5.826726038349976
modern,1.2736821004232461,9,4.572345637857985,5.823714795888026
huge,1.2132842789600402,7,4.795489189172194,5.818291643145453
hit,1.2416902241452439,8,4.677706153515811,5.808262002244635
ill,1.052798548733931,3,5.48863636973214,5.778428404582268
underrated,0.9317500862541039,1,6.181783550292085,5.759877356188851
yup,0.9317500862541039,1,6.181783550292085,5.759877356188851
annoying,1.3086401242418988,11,4.3900240810640305,5.7449616588685615
version,1.1630352501103247,6,4.929020581796717,5.732624685148883
two,1.3478379938484937,13,4.235873401236772,5.709271107319165
wolfenstein,1.035037478145825,3,5.48863636973214,5.68094434658701
write,1.2669403514703836,10,4.47703545805366,5.672136876771876
sell,1.112458371339392,5,5.083171261623976,5.6548164229454105
quite,1.1450530485116446,6,4.929020581796717,5.643990043362971
put,1.3265111105587861,13,4.235873401236772,5.618933129661013
lego,0.9068111409130244,1,6.181783550292085,5.605710194117732
chill,1.0199550008865281,3,5.48863636973214,5.598162113355976
serious,1.167334932997935,7,4.795489189172194,5.597942051334645
call,1.1613067326544462,7,4.795489189172194,5.56903388175728
masterpiece,1.0951311362101106,5,5.083171261623976,5.566739119292845
dev,1.0553584294815537,4,5.26549281841793,5.556982231291946
animation,1.2103200984321063,9,4.572345637857985,5.5340018224778875
nevermind,0.9571985945925519,2,5.77631844218392,5.529083894777488
choppy,0.8912454067725201,1,6.181783550292085,5.5094861948597424
world,1.1769649952237178,8,4.677706153515811,5.505496400630692
speed,1.0003249657108595,3,5.48863636973214,5.490419988351678
dark,1.1066821600038879,6,4.929020581796717,5.454859144166411
literally,1.034241769847195,4,5.26549281841793,5.445792611638254
top,1.1340063360443273,7,4.795489189172194,5.438115124953342
line,1.1314278954798347,7,4.795489189172194,5.425750241101395
main,1.2799501253081746,13,4.235873401236772,5.4217066907025675
ps,1.0656440870661812,5,5.083171261623976,5.41685139849433
art,1.098437523767974,6,4.929020581796717,5.414221162470165
match,1.0982727085954989,6,4.929020581796717,5.413408785092842
screen,1.06474291506069,5,5.083171261623976,5.412270586854237
download,0.9349044705737442,2,5.77631844218392,5.4003059350553135
physics,0.9791917369281071,3,5.48863636973214,5.374427380244795
extremely,1.0872134272649951,6,4.929020581796717,5.358897359794908
multiplayer,1.0802221272538335,6,4.929020581796717,5.324437098146377
thank,1.0767657957473205,6,4.929020581796717,5.307400769013263
honestly,1.1599370228881825,9,4.572345637857985,5.303632986792759
war,1.073923199321906,6,4.929020581796717,5.293389552726653
relax,1.037330548511783,5,5.083171261623976,5.272928832999732
translation,0.9120678340128049,2,5.77631844218392,5.268394250130908
around,1.2162172632947765,12,4.309981373390494,5.241873750796448
hope,1.0926473621608688,7,4.795489189172194,5.239778612819961
freakin,0.8470372252105003,1,6.181783550292085,5.236200785291323
negative,1.1445578884955188,9,4.572345637857985,5.233314268738433
damn,1.060125396084709,6,4.929020581796717,5.225379896586927
totally,1.0274745226131436,5,5.083171261623976,5.222828965397946
spire,0.9511088577042184,3,5.48863636973214,5.220290667969763
instead,1.1142971986429557,8,4.677706153515811,5.212354862937584
slay,0.9869769132543834,4,5.26549281841793,5.196919848685252
sequel,1.0836119465976715,7,4.795489189172194,5.196449375166969
army,1.0204710715177392,5,5.083171261623976,5.187229224057596
insane,1.0522632953662023,6,4.929020581796717,5.186627440329248
kid,0.9433298098521181,3,5.48863636973214,5.177594303006839
press,1.01850099154886,5,5.083171261623976,5.1772149701766885
beeg,0.836983133734426,1,6.181783550292085,5.174048567991395
finish,1.198970073152759,12,4.309981373390494,5.167538682541029
laugh,0.9762687781390954,4,5.26549281841793,5.140536240137054
kill,1.1460002031149812,10,4.47703545805366,5.130683544282467
minute,1.092420784529261,8,4.677706153515811,5.110023426021094
bug,1.16167043774248,11,4.3900240810640305,5.099761195949681
opinion,1.0028353541435753,5,5.083171261623976,5.097583852323124
frame,1.0814947924680585,8,4.677706153515811,5.058914845723142
wife,0.9601331253170865,4,5.26549281841793,5.055574076082282
incredibly,1.0785191703939998,8,4.677706153515811,5.044995760036781
paranoid,0.8153233516995073,1,6.181783550292085,5.040152483705023
mgs,0.8722420035734062,2,5.77631844218392,5.0383475712885195
ability,1.073085831117115,8,4.677706153515811,5.019580195467158
demos,0.810468831459752,1,6.181783550292085,5.010142890342343
warhammer,0.9476622793905082,4,5.26549281841793,4.9899089264162875
mode,1.0340103955367683,7,4.795489189172194,4.958585673288237
unit,1.0043530724472742,6,4.929020581796717,4.950476965483384
map,1.0558054934266508,8,4.677706153515811,4.938747853517643
day,0.9989097502605582,6,4.929020581796717,4.9236467183917085
hand,0.9648046503686915,5,5.083171261623976,4.904267271835301
beautiful,0.928646657938781,4,5.26549281841793,4.889782308224463
entire,0.9883755472758408,6,4.929020581796717,4.871723415067214
repetitive,1.061652911514578,9,4.572345637857985,4.854244058882911
isis,0.7818800208550537,1,6.181783550292085,4.833413051223803
highly,1.0795395158758443,10,4.47703545805366,4.833136690946237
expensive,0.9177186505556448,4,5.26549281841793,4.8322409638289425
horrible,0.8800370063342282,3,5.48863636973214,4.830203119676239
etc,1.0759709836163995,10,4.47703545805366,4.817160245487494
understand,1.09404931275397,11,4.3900240810640305,4.802902828861482
addition,0.9097464927750593,4,5.26549281841793,4.790263624287974
duty,0.8284399553531714,2,5.77631844218392,4.785332992348548
atmosphere,1.020880337695136,8,4.677706153515811,4.775378237639837
gut,0.8229511541642239,2,5.77631844218392,4.75362792881535
explain,0.9341194109637834,5,5.083171261623976,4.7482889447362195
storyline,0.9630233685083124,6,4.929020581796717,4.7467620041286755
ludicrous,0.7673517834787782,1,6.181783550292085,4.743602632396405
tech,0.8177516427878568,2,5.77631844218392,4.723593895361695
build,1.009200517126156,8,4.677706153515811,4.720743469092359
replay,0.9576227549099348,6,4.929020581796717,4.72014226854794
especially,1.0911281051500143,12,4.309981373390494,4.702741809179425
spend,1.004101698348429,8,4.677706153515811,4.696892693120123
dialogue,0.9491322461530642,6,4.929020581796717,4.678292376135401
right,1.0640623030197236,11,4.3900240810640305,4.671259134009039
limited,0.8860558135495,4,5.26549281841793,4.665520522962348
pick,1.0187519398551665,9,4.572345637857985,4.658085988256131
resource,0.9138712759662929,5,5.083171261623976,4.6453642068154934
buggy,0.8818967875492754,4,5.26549281841793,4.643621201426552
abandonware,0.7479019032536355,1,6.181783550292085,4.623367682765466
bing,0.7477865529392744,1,6.181783550292085,4.622654612089628
weird,0.9636255267844821,7,4.795489189172194,4.6210557961053444
terrible,0.8755515319144547,4,5.26549281841793,4.610210303450378
pain,0.8394703292128742,3,5.48863636973214,4.6075473802287945
lame,0.7965129050050742,2,5.77631844218392,4.600912182618299
button,0.9329454641523801,6,4.929020581796717,4.598507394500973
due,0.931119990884712,6,4.929020581796717,4.589509599193118
xcom,0.8353412835937253,3,5.48863636973214,4.58488455027125
port,0.8348100566186734,3,5.48863636973214,4.581968838575397
silly,0.7911482508969649,2,5.77631844218392,4.56992423215769
install,0.8317368020157502,3,5.48863636973214,4.565100861588347
shame,0.8299710641197408,3,5.48863636973214,4.555409368352894
improve,0.9962446905671872,9,4.572345637857985,4.5551750651540575
shoot,0.895174077641851,5,5.083171261623976,4.5503231456198066
kind,1.0358661915207708,11,4.3900240810640305,4.547477525536269
happen,0.9667268889357925,8,4.677706153515811,4.522064317144154
arabic,0.7306628550408738,1,6.181783550292085,4.516799618101124
read,0.888321484433592,5,5.083171261623976,4.515490240755986
boardgame,0.7812228739569625,2,5.77631844218392,4.512592094293527
constantly,0.887545731576264,5,5.083171261623976,4.511546956125493
hate,0.9152318320534483,6,4.929020581796717,4.5111965373069625
maybe,0.9388290738169375,7,4.795489189172194,4.502144673969668
minimalistic,0.7250599994937199,1,6.181783550292085,4.482163977845065
singleplayer,0.8152233582559816,3,5.48863636973214,4.474464573578954
stand,0.8796480327109879,5,5.083171261623976,4.471401600220561
dude,0.8485384291670138,4,5.26549281841793,4.467973004930542
server,0.7728255980724265,2,5.77631844218392,4.4640867547375755
next,0.9754537654785624,9,4.572345637857985,4.460111769518051
element,0.8439800086492064,4,5.26549281841793,4.443970674430699
ask,0.8732157303406362,5,5.083171261623976,4.4387051056655125
stop,0.900431309070073,6,4.929020581796717,4.43824445490055
arpg,0.7179245652693496,1,6.181783550292085,4.438054267932661
single,0.9677158127518463,9,4.572345637857985,4.4247311751220995
sehr,0.7650289676753858,2,5.77631844218392,4.419050934788257
total,0.8686809419032506,5,5.083171261623976,4.41565399940305
miss,0.9203779080386054,7,4.795489189172194,4.413662307952052
playerbase,0.7133803365620025,1,6.181783550292085,4.409962829660818
quickly,0.8374717972106855,4,5.26549281841793,4.409701733840421
god,0.8609130020735036,5,5.083171261623976,4.376168230898456
name,0.8310422881736566,4,5.26549281841793,4.375847200179992
incredible,0.7968343980138421,3,5.48863636973214,4.3735342575923895
audio,0.794411828615121,3,5.48863636973214,4.3602376550823685
dungeon,0.826742107545211,4,5.26549281841793,4.353204629963012
generate,0.7917909733748696,3,5.48863636973214,4.345852733690921
detective,0.751905796223103,2,5.77631844218392,4.343247317508495
although,0.9682696714492096,10,4.47703545805366,4.334977652036079
past,0.8790146117361711,6,4.929020581796717,4.332681112947638
endless,0.8489320903099864,5,5.083171261623976,4.315267204534092
bf,0.7458848286828819,2,5.77631844218392,4.3084682916661245
chinese,0.6960191359715804,1,6.181783550292085,4.302639645437625
cheater,0.6960191359715804,1,6.181783550292085,4.302639645437625
last,0.9399742106016161,9,4.572345637857985,4.297886981543304
otherwise,0.8158006234509504,4,5.26549281841793,4.295592324041849
book,0.8149177370770545,4,5.26549281841793,4.290943492180621
tropico,0.7419657323008915,2,5.77631844218392,4.285830342958137
rat,0.74145380809692,2,5.77631844218392,4.282873305737736
roll,0.7386439980157804,2,5.77631844218392,4.266642947947016
cinema,0.6900340358797332,1,6.181783550292085,4.2656410521429935
remain,0.8097070169607283,4,5.26549281841793,4.263506482829319
leave,0.863054961157247,6,4.929020581796717,4.254015666765837
bring,0.9497169590169854,10,4.47703545805366,4.251916500633938
row,0.7737559911965328,3,5.48863636973214,4.246865274579431
checkpoint,0.7339823776374942,2,5.77631844218392,4.23971594418546
apply,0.7722200213155683,3,5.48863636973214,4.238434894427956
es,0.772191399477663,3,5.48863636973214,4.23827779956746
simulator,0.7306861192923712,2,5.77631844218392,4.220675706316324
destroy,0.7687660431821459,3,5.48863636973214,4.219477264424595
linear,0.8298390925850817,5,5.083171261623976,4.218214227200605
stick,0.8278161347383747,5,5.083171261623976,4.207931186010747
potato,0.6800604217844812,1,6.181783550292085,4.203986328592003
medic,0.6778048367511417,1,6.181783550292085,4.190042790136619
duo,0.6778048367511417,1,6.181783550292085,4.190042790136619
clear,0.8467319574335185,6,4.929020581796717,4.173559245454833
tell,0.8920766590134624,8,4.677706153515811,4.1728724772750985
several,0.7594811965547682,3,5.48863636973214,4.168516117538184
may,0.9307897346899838,10,4.47703545805366,4.167178646199417
rogue,0.6724265244919427,1,6.181783550292085,4.15679522788437
let,0.8166565442140586,5,5.083171261623976,4.151205076166054
warn,0.7530632281704744,3,5.48863636973214,4.133290222844359
roguelite,0.7832327542949615,4,5.26549281841793,4.124106442889816
basically,0.8363117345275135,6,4.929020581796717,4.122197752284226
figure,0.8105713639317604,5,5.083171261623976,4.120273062633274
absolutely,0.8581220718315229,7,4.795489189172194,4.115115118458112
scare,0.7107563522088536,2,5.77631844218392,4.105555025163371
set,0.7776135621328366,4,5.26549281841793,4.094518626914836
besides,0.7768097340410974,4,5.26549281841793,4.090286075870541
favorite,0.8296004424932212,6,4.929020581796717,4.089117655716751
biological,0.6610228538462805,1,6.181783550292085,4.086300204274066
model,0.8289787157227994,6,4.929020581796717,4.086053151669088
previous,0.7757580805299205,4,5.26549281841793,4.084748601859974
slow,0.8271973122365947,6,4.929020581796717,4.0772725772211
metal,0.7054016425469494,2,5.77631844218392,4.074624516990774
fact,0.8706034998257741,8,4.677706153515811,4.072427348407425
fantastic,0.8261179602552857,6,4.929020581796717,4.071952429090226
online,0.7731544742300693,4,5.26549281841793,4.071039331586121
meaningless,0.7409456388075141,3,5.48863636973214,4.066781181153335
favourite,0.7409263002486959,3,5.48863636973214,4.066675038836068
care,0.7989018056274064,5,5.083171261623976,4.060954699224736
combine,0.7705265178763118,4,5.26549281841793,4.057201846278295
person,0.8860433424358582,9,4.572345637857985,4.051296411739706
low,0.7690938558590523,4,5.26549281841793,4.049658174715194
