Steam ID,Total_Games,Total_Achievements,Archetype_1_Weight,Archetype_2_Weight,Archetype_3_Weight,Archetype_4_Weight,Archetype_5_Weight,Archetype_6_Weight,Archetype_7_Weight,Archetype_8_Weight,Archetype_9_Weight,Archetype_10_Weight,Archetype_11_Weight,Archetype_12_Weight,Archetype_13_Weight,Archetype_14_Weight,Archetype_15_Weight,Archetype_16_Weight,Archetype_17_Weight,Archetype_18_Weight,Archetype_19_Weight,Archetype_20_Weight,Archetype_21_Weight,Archetype_22_Weight,Archetype_23_Weight,Archetype_24_Weight,Archetype_25_Weight,Archetype_26_Weight,Archetype_27_Weight,Archetype_28_Weight,Archetype_29_Weight,Archetype_30_Weight
76561197960269409,9,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1531614932335608e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261512116024843e-17,0.0,0.0,1.0166573713963676e-17
76561197977935089,10,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561197983588742,10,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231170083919083e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2955771577166093e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.464822766813682e-17,0.0,0.0,1.008915598732094e-17
76561197986997483,7,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3129659322870608e-17,0.0,0.0,0.0,0.0,0.0,4.044862601869613e-18,0.0,3.0873380513428064e-19,1.4809098822082917e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486194812477868e-17,0.0,0.0,1.2331677852228448e-17
76561197998383791,7,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198004559773,7,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198006756264,11,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76561198011778207,9,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76561198012450682,7,73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.960450457487835e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2185368815222027e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204409836029614e-17,0.0,0.0,7.100332349398111e-18
76561198037222425,8,49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
