Steam ID,Total_Games,Total_Achievements,Archetype_1_Weight,Archetype_2_Weight,Archetype_3_Weight,Archetype_4_Weight,Archetype_5_Weight,Archetype_6_Weight,Archetype_7_Weight,Archetype_8_Weight,Archetype_9_Weight,Archetype_10_Weight
76561197960269409,9,130,0.0,0.0,0.19790091790497005,0.0,0.56335427560481,0.0,0.0,0.0,0.0,0.2387448064902199
76561197977935089,10,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561197983588742,10,155,0.0,0.0,0.0,0.044009046376596264,0.04975480859728996,0.0,0.0,0.0,0.9062361450261137,0.0
76561197986997483,7,87,0.0,0.3861393242299323,0.0,0.026048139243056132,0.0,0.0,0.0,0.0,0.0,0.5878125365270116
76561197998383791,7,43,0.0,0.0,0.0,0.8906755822512327,0.04692223648425619,0.0,0.0,0.062402181264511164,0.0,0.0
76561198004559773,7,101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76561198006756264,11,143,0.2146993779489261,0.0,0.0,0.0,0.0,0.0,0.04304957233612956,0.0,0.0,0.7422510497149444
76561198011778207,9,68,0.21025969679883869,0.0,0.0,0.0,0.0,0.3038448720492326,0.0,0.15438977983974134,0.3315056513121873,0.0
76561198012450682,7,73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76561198037222425,8,49,0.0,0.0,0.0,0.0,0.10677245976290355,0.8932275402370964,0.0,0.0,0.0,0.0
76561198037246903,13,481,0.0,0.3333997449604751,0.0,0.0,0.0,0.2792319656572973,0.0,0.3633141448569958,0.0,0.024054144525231823
76561198042114922,7,79,0.0,0.0,0.0,0.0,0.048408821149980304,0.0,0.9515911788500198,0.0,0.0,0.0
76561198046731438,7,62,0.0,0.0,0.0,0.0,0.0,0.0683076332213451,0.0,0.16956709458771466,0.7621252721909403,0.0
76561198061669144,7,24,0.0,0.0,0.0,0.0022004787750741434,0.0,0.6832632226235694,0.004956342255467874,0.0,0.0,0.3095799563458884
76561198064055378,10,84,0.0,0.0,0.41466036923240207,0.0,0.0,0.0,0.0,0.2681373443013417,0.31720228646625614,0.0
76561198064800033,9,473,0.13308870456654096,0.2901833240141447,0.5767279714193143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198068123705,9,45,0.0,0.0,0.0,0.08992632405070908,0.03341837888510149,0.0,0.0,0.0,0.8766552970641894,0.0
76561198088342032,7,118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198147075448,9,103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198151246013,8,157,0.0,0.0,0.0,0.0,0.0,0.7114134084777847,0.2885865915222153,0.0,0.0,0.0
76561198192893105,10,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76561198201248007,7,41,0.0,0.0,0.0,0.6067973376219215,0.059882562770277085,0.0,0.33332009960780146,0.0,0.0,0.0
76561198354879869,10,84,0.0,0.12893923974431454,0.0,0.035440274414865976,0.02677147799508549,0.0,0.008138264270841623,0.0,0.8007107435748924,0.0
76561198379680951,10,165,0.0,0.0,0.8818828148352132,0.1181171851647868,0.0,0.0,0.0,0.0,0.0,0.0
76561198380925613,9,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198397520727,12,69,0.01586172381989964,0.0,0.0,0.0,0.0,0.9841382761801003,0.0,0.0,0.0,0.0
76561198796747013,7,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198885069362,9,296,0.7568238725537559,0.0,0.24317612744624398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76561199027285610,8,101,0.0,0.0,0.7238458465144095,0.0,0.0,0.0,0.25395254243236914,0.0,0.022201611053221073,0.0
76561199131606199,8,247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
