steam_id,total_game,total_achievement,dominant_topic,top_1_genre,top_2_genre,top_3_genre,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,archetype_7_weight
76561197960269409,0.1413237924865832,0.2558704453441295,0,9,2,13,0.4305539656165819,0.3887250150397673,0.18072101934365079,0.0,0.0,0.0,0.0
76561197962437769,0.148479427549195,0.0262145748987854,0,9,17,1,0.0,0.0,0.0,0.9593949263074143,0.03846592846338256,0.0,0.0021391452292031984
76561197963260222,0.1699463327370304,0.3177125506072874,0,9,1,17,0.0,0.0,0.0,0.9663680651801496,0.0,0.03363193481985048,0.0
76561197970698176,0.0178890876565295,0.0926113360323886,0,9,13,1,0.2554708740101421,0.2123918679436985,0.0,0.0,0.24879071195496097,0.0,0.2833465460911983
76561197977935089,0.1395348837209302,0.16082995951417,0,1,17,15,0.0,0.0,0.0,0.4535786116110765,0.0,0.0,0.5464213883889234
76561197983588742,0.2343470483005366,0.4081983805668016,0,1,2,9,0.0,0.0,0.6616403070454303,0.0,0.06833625967547789,0.2700234332790919,0.0
76561197985705149,0.0822898032200357,0.0517206477732793,0,9,2,13,0.44654089028979527,0.4153348026867595,0.015121605738993177,0.0,0.12300270128445201,0.0,0.0
76561197986997483,0.2504472271914132,0.1464574898785425,0,9,2,17,0.4891566179620044,0.0,0.4719764154513058,0.03886696658668975,0.0,0.0,0.0
76561197992783558,0.479427549194991,0.6268218623481782,0,9,17,1,0.0,0.0,0.1395196087837245,0.8604803912162754,0.0,0.0,0.0
76561197996907347,0.4472271914132378,0.2034412955465587,0,9,1,17,0.0,0.0,0.1131636427217821,0.886836357278218,0.0,0.0,0.0
76561197996986882,0.2504472271914132,0.1924089068825911,0,17,9,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76561197998141809,0.1806797853309481,0.429251012145749,0,9,1,2,0.0,0.0,0.18849820387116706,0.0,0.0,0.8115017961288329,0.0
76561197998383791,0.1323792486583184,0.2596153846153846,0,1,2,9,0.0,0.0018987056580682061,0.04159855235466855,0.0,0.0448677069139138,0.9116350350733494,0.0
76561197999259031,0.0429338103756708,0.0882591093117408,0,9,17,1,0.0,0.0,0.0,0.8311172718436229,0.0909955604788767,0.0,0.07788716767750042
