steam_id,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561197960269409,0.13687150837988826,0.2970359660220495,0.36064759890276155,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.616,0.608,0.62,0.0,0.0
76561197962437769,0.15363128491620115,0.03352611603108621,0.1872963317368841,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5916030534351144,0.5801526717557252,0.0,0.5801526717557252,0.0,0.0,0.5916030534351144
76561197963260222,0.1564245810055866,0.33697813121272363,0.2726643090888089,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5871212121212122,0.5757575757575758,0.0,0.5757575757575758,0.0,0.0,0.5871212121212122
76561197970698176,0.01675977653631286,0.05711187420928972,0.23050574828602988,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9390243902439024,0.0,0.0,0.0,0.0,0.926829268292683,0.9451219512195123,0.0,0.9451219512195123
76561197977935089,0.1634078212290503,0.17784203867702875,0.7335296985107781,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5724907063197026,0.0,0.0,0.5650557620817843,0.0,0.0,0.0,0.5650557620817843,0.5762081784386617
76561197983588742,0.2388268156424581,0.426712452557383,0.19133936363057297,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5634674922600619,0.0,0.4705882352941177,0.47678018575851394,0.4705882352941177,0.0,0.0,0.0
76561197985705149,0.08100558659217877,0.06434122537502258,0.01593417232073946,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.738095238095238,0.0,0.7333333333333334,0.7238095238095239,0.7380952380952381,0.0,0.0
76561197986997483,0.24720670391061456,0.16238930056027473,0.04266459071771882,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4711246200607902,0.0,0.46808510638297873,0.46200607902735563,0.0,0.0,0.47112462006079026
76561197992783558,0.44692737430167595,0.6491053677932406,0.5077389897275313,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3283898305084746,0.3220338983050847,0.0,0.3220338983050847,0.0,0.0,0.3283898305084746
76561197996907347,0.41759776536312854,0.21371769383697814,0.08378471089908136,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3436807095343681,0.3370288248337029,0.0,0.3370288248337029,0.0,0.0,0.3436807095343681
76561197996986882,0.2150837988826816,0.1913067052232062,0.2899843297013704,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5065359477124183,0.0,0.0,0.49673202614379086,0.5065359477124183,0.0,0.5065359477124183
76561197998141809,0.18156424581005587,0.4146032893547804,0.5486147372336256,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5460992907801419,0.0,0.0,0.5390070921985816,0.5460992907801419,0.5390070921985816,0.0,0.0,0.0
76561197998383791,0.09497206703910616,0.2486896801012109,0.6537341921117846,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6909090909090909,0.0,0.0,0.0,0.6909090909090909,0.7,0.6909090909090909,0.0,0.0,0.0
76561197999259031,0.043296089385474856,0.0962407373938189,0.24434382673535715,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8469945355191257,0.8306010928961749,0.0,0.8306010928961749,0.0,0.0,0.8469945355191257
76561197999482693,0.004189944134078222,0.08693294776793782,0.2445168429286575,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9806451612903225,0.0,0.0,1.0,0.0,1.0
76561198002458772,0.11312849162011174,0.2623350804265317,0.23028568263492477,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6652360515021459,0.0,0.0,0.6523605150214592,0.6652360515021459,0.0,0.6652360515021459
76561198003412713,0.06424581005586594,0.18705946141333812,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9191919191919192,0.0,0.7676767676767677,0.0,0.0,0.7828282828282829,0.0,0.7828282828282829
