No,Steam ID,Total Game,Total Achievement,Total Playtime,Topic Dominan,Genre Dominan
1,76561197960269409,205,3294,33.50130081300813,0,9
2,76561197960269409,205,3294,33.50130081300813,0,2
3,76561197960269409,205,3294,33.50130081300813,0,13
4,76561197962437769,209,1025,25.90031897926635,0,9
5,76561197962437769,209,1025,25.90031897926635,0,17
6,76561197962437769,209,1025,25.90031897926635,0,1
7,76561197963260222,221,3905,28.560407239819003,0,9
8,76561197963260222,221,3905,28.560407239819003,0,1
9,76561197963260222,221,3905,28.560407239819003,0,17
10,76561197970698176,136,1681,34.4719362745098,0,9
11,76561197970698176,136,1681,34.4719362745098,0,13
12,76561197970698176,136,1681,34.4719362745098,0,1
13,76561197977935089,204,2355,69.91111111111111,0,1
14,76561197977935089,204,2355,69.91111111111111,0,17
15,76561197977935089,204,2355,69.91111111111111,0,15
16,76561197983588742,257,4799,22.839040207522697,0,1
17,76561197983588742,257,4799,22.839040207522697,0,2
18,76561197983588742,257,4799,22.839040207522697,0,9
19,76561197985705149,172,1277,8.7593992248062,0,9
20,76561197985705149,172,1277,8.7593992248062,0,2
21,76561197985705149,172,1277,8.7593992248062,0,13
22,76561197986997483,266,2213,10.08076441102757,0,9
23,76561197986997483,266,2213,10.08076441102757,0,2
24,76561197986997483,266,2213,10.08076441102757,0,17
25,76561197992783558,394,6959,50.4428510998308,0,9
26,76561197992783558,394,6959,50.4428510998308,0,17
27,76561197992783558,394,6959,50.4428510998308,0,1
28,76561197996907347,376,2776,14.558200354609928,0,9
29,76561197996907347,376,2776,14.558200354609928,0,1
30,76561197996907347,376,2776,14.558200354609928,0,17
31,76561197996986882,266,2667,27.947556390977443,0,17
32,76561197996986882,266,2667,27.947556390977443,0,9
33,76561197996986882,266,2667,27.947556390977443,0,13
34,76561197998141809,227,5007,56.95565345080764,0,9
35,76561197998141809,227,5007,56.95565345080764,0,1
36,76561197998141809,227,5007,56.95565345080764,0,2
37,76561197998383791,200,3331,59.30908333333333,0,1
38,76561197998383791,200,3331,59.30908333333333,0,2
39,76561197998383791,200,3331,59.30908333333333,0,9
40,76561197999259031,150,1638,27.269888888888886,0,9
41,76561197999259031,150,1638,27.269888888888886,0,17
42,76561197999259031,150,1638,27.269888888888886,0,1
43,76561197999482693,134,1603,27.266044776119404,0,17
44,76561197999482693,134,1603,27.266044776119404,0,1
45,76561197999482693,134,1603,27.266044776119404,0,13
46,76561198002458772,191,3204,25.879319371727746,0,9
47,76561198002458772,191,3204,25.879319371727746,0,13
48,76561198002458772,191,3204,25.879319371727746,0,17
49,76561198003412713,170,2514,84.1129411764706,0,1
50,76561198003412713,170,2514,84.1129411764706,0,17
51,76561198003412713,170,2514,84.1129411764706,0,13
52,76561198004559773,157,3020,38.57409766454352,0,1
53,76561198004559773,157,3020,38.57409766454352,0,2
54,76561198004559773,157,3020,38.57409766454352,0,13
55,76561198006756264,221,2840,33.197511312217195,0,17
56,76561198006756264,221,2840,33.197511312217195,0,9
57,76561198006756264,221,2840,33.197511312217195,0,1
58,76561198006906614,685,3008,9.092068126520681,0,9
59,76561198006906614,685,3008,9.092068126520681,0,1
60,76561198006906614,685,3008,9.092068126520681,0,2
61,76561198009353718,194,4701,48.73213058419244,0,1
62,76561198009353718,194,4701,48.73213058419244,0,2
63,76561198009353718,194,4701,48.73213058419244,0,9
64,76561198011413162,151,2190,53.28388520971303,0,1
