K,Reconstruction_Error,Silhouette_Score,Explained_Variance,MMD,Linear_Separability
2,9.9990597680109,0.8720403294225343,0.37839471329896746,-0.010827860401344758,0.5287878787878787
3,8.804673589135637,0.8085542983651669,0.5180267986636813,-0.01079367287666999,0.4242424242424242
4,8.043235849964708,0.8034821294262277,0.5977852638603676,-0.014590567249195496,0.4590909090909091
5,7.10429012829062,0.7823373819715174,0.686210975612103,-0.0076801354402002975,0.47575757575757577
6,6.5888223633544865,0.6959246934888896,0.73009435438395,-0.002284623225333071,0.5954545454545455
7,6.237164654269945,0.7502501417479567,0.7581362461877423,-0.0007442363695309151,0.5424242424242424
8,5.9445511335104095,0.6928808962090085,0.7802977498074141,-0.0012328654095186131,0.5424242424242424
9,5.650154642792406,0.7391569904008511,0.8015198681591789,-0.0018685873837560596,0.509090909090909
10,5.425944832726873,0.7124913087491589,0.8169595315966636,0.029316301981847204,0.7318181818181817
