,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
76561197960269409,0.9999999999999999,3.1877102004434965e-19,7.558242260175187e-17,1.6980123843854778e-17,3.785143530790288e-19
76561197962437769,0.014159178761507633,0.0,0.12887033680699797,0.8569704844314945,0.0
76561197963260222,0.07214359443255605,0.054091943064955184,0.23981730574960564,0.6339471567528832,0.0
76561197970698176,0.3641492998565904,0.0,0.0,0.24858323057104284,0.3872674695723667
76561197977935089,0.0,0.0,0.0,0.2808126319263063,0.7191873680736938
76561197983588742,9.870592078109324e-18,1.0,0.0,1.92265627308024e-17,1.812878846946954e-17
76561197985705149,0.7971955761084056,0.0,0.0,0.09703153847696648,0.10577288541462772
76561197986997483,0.3835390851488066,0.03780518392998956,0.21617991538687337,0.33752177254453924,0.024954042989791213
76561197992783558,0.11923079197820856,0.07331502871331178,0.4158946250386639,0.3915595542698158,0.0
76561197996907347,0.07217545093062232,0.045021054895252204,0.3812603905068592,0.5015431036672662,0.0
76561197996986882,0.5610070282406506,0.0,0.05050916785870177,0.38848380390064763,0.0
76561197998141809,0.09204935541922017,0.057032875718476886,0.30699401725507874,0.0,0.5439237516072243
76561197998383791,0.0,0.0,0.8376590028533759,0.0,0.16234099714662403
76561197999259031,2.208259866285844e-17,0.0,0.0,1.0,3.8739404908788474e-17
76561197999482693,0.27167764276739564,0.0,0.0,0.7283223572326043,0.0
76561198002458772,0.565513528509316,0.0,0.005642471960095503,0.42884399953058844,0.0
76561198003412713,0.0,0.6895902453273886,0.0,0.3104097546726114,0.0
76561198004559773,0.19287725267608727,0.8071227473239126,0.0,0.0,0.0
76561198006756264,0.061128287909108354,0.03228824487723711,0.21767608566868824,0.6889073815449663,0.0
76561198006906614,0.16096063212247577,0.08058626968216502,0.5027614533627319,0.20135667247896621,0.05433497235366104
76561198009353718,0.0,0.0,0.8462852329195515,0.0,0.15371476708044848
76561198011413162,0.2045839606808943,0.7954160393191058,0.0,0.0,0.0
76561198011778207,0.04086498881340131,0.0,0.11168935229903841,0.0,0.8474456588875603
76561198011803825,0.0,0.0,0.6227105845856851,0.0,0.377289415414315
76561198022439862,0.07006490334829117,0.03168693270739071,0.3071579954275461,0.591090168516772,0.0
76561198025583859,0.17664579803395747,0.08469259955653803,0.4633707174497776,0.21162278765658302,0.06366809730314385
76561198025679656,0.0,0.0,0.6834408775586072,0.0,0.31655912244139267
76561198031720187,0.008860267306641455,0.0,0.0,0.0,0.9911397326933585
76561198032898393,0.31610211757138146,0.0,0.0,0.6838978824286185,0.0
76561198037222425,0.49395253898774377,0.0,0.15496853859516166,0.35107892241709454,0.0
76561198037246903,0.2325547467689796,0.13918048585112147,0.30646140227216806,0.24027615390462775,0.08152721120310318
76561198041304371,0.43163495861064866,0.0068953486620654675,0.0,0.4710079612017072,0.09046173152557861
76561198045196300,0.014589350665740438,0.009292231805680383,0.9142196401910028,0.04097952823586948,0.02091924910170683
76561198046731438,0.0,0.0,0.7212442935040919,0.0,0.2787557064959081
76561198048640355,0.0,0.0,1.0,0.0,0.0
76561198061669144,0.5254426870369119,0.0,0.0,0.4745573129630881,0.0
76561198064800033,0.0,0.02809385781342509,0.9719061421865749,0.0,0.0
76561198068123705,0.002984181660435713,0.0,0.0,0.02938902197334633,0.9676267963662178
76561198088342032,0.0,0.0,0.878112824393109,0.0,0.12188717560689093
76561198105784816,0.1701621547940174,0.8298378452059826,0.0,0.0,0.0
76561198107047766,0.040044988767055395,0.026630389976659934,0.29344855229193495,0.6398760689643498,0.0
76561198108773562,0.0,0.0,0.8058254549580598,0.0,0.19417454504194018
76561198118915505,0.26767732051056387,0.0,0.0,0.0,0.7323226794894362
76561198121696622,0.028474614061791068,0.0,0.07567251628064112,0.8958528696575678,0.0
76561198122292277,0.0,0.0,0.7040598697996583,0.0,0.2959401302003416
76561198147075448,2.6898073121083015e-17,1.0870322302426352e-18,2.5774152680658086e-16,5.79034502233395e-17,0.9999999999999997
76561198150437413,0.0,0.0,0.4582828741895863,0.0,0.5417171258104136
76561198159956177,0.0,0.0,0.6343162206100866,0.0,0.3656837793899133
76561198170036259,0.0,0.0,0.8657326419623281,0.0,0.13426735803767198
76561198192893105,0.5644995308456132,0.0,0.0,0.4355004691543868,0.0
76561198201248007,0.0,0.0,0.9407928419467094,0.0,0.05920715805329067
76561198336656213,0.0,0.8881331536212054,0.0,0.042088060593778516,0.06977878578501621
76561198353192608,0.0,0.7078399974349955,0.0,0.12300493561966656,0.16915506694533786
76561198796747013,0.0,0.0,0.7072898437878264,0.0,0.29271015621217367
76561198829145577,0.0,0.0,0.42625956619245353,0.0,0.5737404338075465
76561198961717161,0.0,0.0,0.4121604868894314,0.0,0.5878395131105686
76561198975545285,0.0,0.0,0.888717152988734,0.0,0.11128284701126606
76561199027285610,0.0,0.0,0.5302690163421961,0.0,0.46973098365780386
76561199122194203,0.0,0.0,0.0,0.0,0.0
