K,Reconstruction_Error,Silhouette_Score
2,9.9990597680109,0.8720403294225343
3,8.804673589135637,0.8085542983651669
4,8.043235849964708,0.8034821294262277
5,7.10429012829062,0.7823373819715174
6,6.5888223633544865,0.6959246934888896
7,6.237164654269945,0.7502501417479567
8,5.9445511335104095,0.6928808962090085
9,5.650154642792406,0.7391569904008511
10,5.425944832726873,0.7124913087491589
