,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
76561197960269409,0.9381674819091912,0.06183251809080885,0.0,0.0,0.0
76561197962437769,0.9413183035962505,0.0,0.0,0.05868169640374944,0.0
76561197963260222,0.9651110852741287,0.0,0.002462068013787196,0.0324268467120842,0.0
76561197970698176,0.5216234795889414,0.0,0.0,0.0020292027469848923,0.4763473176640736
76561197977935089,0.1590016317919363,0.14782048472066792,0.23166468692577824,0.2385002141007786,0.22301298246083898
76561197983588742,0.05160846454680266,0.3705244162788372,0.5778671191743602,0.0,0.0
76561197985705149,1.0,0.0,0.0,0.0,0.0
76561197986997483,0.8275344484391468,0.0,0.17246555156085325,0.0,0.0
76561197992783558,0.5395551926877281,0.04896435235669637,0.4029274429609854,0.0,0.008553011994590147
76561197996907347,0.5768534635111993,0.032116118868517056,0.36876146227312256,0.0,0.02226895534716108
76561197996986882,0.9541735350521091,0.04582646494789094,0.0,0.0,0.0
76561197998141809,0.051502913036285236,0.0,0.4032768501969453,0.0,0.5452202367667693
76561197998383791,0.0,0.0,1.0,0.0,0.0
76561197999259031,0.8925909086951026,0.0,0.0,0.10740909130489734,0.0
76561197999482693,0.5961825055818128,0.351459712441899,0.0,0.05235778197628806,0.0
76561198002458772,0.9801097168133649,0.019890283186635195,0.0,0.0,0.0
76561198003412713,0.19725957202883726,0.7190323137972074,0.0,0.08370811417395524,0.0
76561198004559773,0.0,0.8584169509882594,0.14158304901174062,0.0,0.0
76561198006756264,0.9543659610606138,0.0,0.0,0.04563403893938622,0.0
76561198006906614,0.3535742399621626,0.08158656511076189,0.5044100671341297,0.0,0.060429127792945764
76561198009353718,0.0,0.0,1.0,0.0,0.0
76561198011413162,0.0,0.9000861021998962,0.09991389780010393,0.0,0.0
76561198011778207,0.0,0.0,0.2942690351168771,0.0,0.7057309648831229
76561198011803825,0.0,0.0,1.0,0.0,0.0
76561198022439862,0.7462052422825064,0.0,0.23989271249325078,0.013902045224242796,0.0
76561198025583859,0.35895754361696447,0.07783224509551125,0.5056045488581875,0.0,0.0576056624293368
76561198025679656,0.0,0.0,1.0,0.0,0.0
76561198031720187,0.0,0.0,0.27711851646578195,0.0,0.722881483534218
76561198032898393,0.45705426571413843,0.0,0.0,0.5429457342858616,0.0
76561198037222425,0.959131984905944,0.040868015094056076,0.0,0.0,0.0
76561198037246903,0.3340540784054825,0.0,0.6659459215945175,0.0,0.0
76561198041304371,1.0,0.0,0.0,0.0,0.0
76561198045196300,0.25572532569336004,0.06696324373729337,0.6496824391409856,0.0,0.027628991428360884
76561198046731438,0.0,0.0,1.0,0.0,0.0
76561198048640355,0.23178220928508764,0.0628987981181685,0.6885122857841611,0.0,0.016806706812582697
76561198061669144,0.9424590917932553,0.024915763236575544,0.0,0.03262514497016928,0.0
76561198064800033,0.0,0.0,1.0,0.0,0.0
76561198068123705,0.0,0.0,0.23805113123276775,0.0,0.7619488687672322
76561198088342032,0.06252097658537621,0.0,0.9374790234146237,0.0,0.0
76561198105784816,0.0,0.8672477406159916,0.1327522593840083,0.0,0.0
76561198107047766,0.7355907357345333,0.0,0.2596814067533849,0.004727857512081776,0.0
76561198108773562,0.0,0.0,1.0,0.0,0.0
76561198118915505,0.0,0.3815461593614651,0.0,0.0,0.6184538406385348
76561198121696622,0.9040282052739149,0.0,0.0,0.09597179472608505,0.0
76561198122292277,0.0,0.0,1.0,0.0,0.0
76561198147075448,0.0,0.0,0.28590091437960374,0.0,0.7140990856203964
76561198150437413,0.0,0.0,1.0,0.0,0.0
76561198159956177,0.0,0.0,1.0,0.0,0.0
76561198170036259,0.0,0.0,1.0,0.0,0.0
76561198192893105,0.9827399569040544,0.017260043095945612,0.0,0.0,0.0
76561198201248007,0.1565663769102865,0.037965708143339515,0.8054679149463739,0.0,0.0
76561198336656213,0.0753454798877009,0.37590999429816846,0.5487445258141307,0.0,0.0
76561198353192608,0.0,0.5152075168129672,0.48479248318703283,0.0,0.0
76561198796747013,0.0,0.0,1.0,0.0,0.0
76561198829145577,0.0,0.0,1.0,0.0,0.0
76561198961717161,0.0,0.0,1.0,0.0,0.0
76561198975545285,0.062477341704539766,0.0047192751410733485,0.9328033831543868,0.0,0.0
76561199027285610,0.0,0.0,1.0,0.0,0.0
76561199122194203,0.0,0.0,0.5920149843566648,0.4079850156433353,0.0
