,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
76561197960269409,1.0,0.0,5.852312381129895e-17,0.0,0.0
76561197962437769,0.0,0.0,0.05211436007093683,0.9478856399290632,0.0
76561197963260222,0.009559985301372833,0.0025694321676631203,0.08651756699855052,0.9013530155324135,0.0
76561197970698176,0.3398386590933114,0.0,0.0,0.3334342924178643,0.32672704848882433
76561197977935089,0.0,0.0,0.0,0.5301856651653004,0.46981433483469953
76561197983588742,0.0,1.0,0.0,1.8254978007072013e-18,1.1097728218647821e-17
76561197985705149,0.9811637540834806,0.0,0.0,0.001407821052001687,0.017428424864517584
76561197986997483,0.5054511624530044,0.0,0.06363232204388591,0.43091651550310967,0.0
76561197992783558,0.03188359460635883,0.0,0.21629709312223275,0.7518193122714084,0.0
76561197996907347,0.0,0.0,0.1636631896118978,0.8363368103881023,0.0
76561197996986882,0.545738880419751,0.0,0.0,0.45426111958024895,0.0
76561197998141809,0.029884636765931033,0.06617280654509353,0.18670872865265883,0.0,0.7172338280363165
76561197998383791,0.01813089071228429,0.0,0.7812807315524378,0.043226347108597386,0.15736203062668053
76561197999259031,0.0,0.0,0.0,1.0,0.0
76561197999482693,0.2040191169057138,0.0,0.0,0.7959808830942863,0.0
76561198002458772,0.5310904823217679,0.0,0.0,0.4689095176782321,0.0
76561198003412713,0.0,0.5442980549230765,0.0,0.4557019450769234,0.0
76561198004559773,0.20537435814119365,0.7946256418588064,0.0,0.0,0.0
76561198006756264,0.010250249486647905,0.0,0.08202340684257542,0.9077263436707766,0.0
76561198006906614,0.25518965028094076,0.15299257327014706,0.42158595786894576,0.17023181857996636,0.0
76561198009353718,0.015322259149361483,0.0,0.7911371799393052,0.03955050230440748,0.15399005860692586
76561198011413162,0.21978204244312352,0.7802179575568765,0.0,0.0,0.0
76561198011778207,0.03247198127054262,0.03422435624506183,0.11492461950020139,0.0,0.8183790429841942
76561198011803825,0.0,0.0,0.7258109710992042,0.05039058161764054,0.2237984472831552
76561198022439862,0.008241532940455416,0.0,0.1251991064462571,0.8665593606132874,0.0
76561198025583859,0.268749547016864,0.1682223119151963,0.36768953726212206,0.19533860380581772,0.0
76561198025679656,0.0,0.0,0.770816507520138,0.03543638199315465,0.19374711048670734
76561198031720187,0.01062620728436044,0.003416395217779886,0.005476160232601252,0.0015945120746580972,0.9788867251906003
76561198032898393,0.20691373954135384,0.0,0.0,0.7930862604586462,0.0
76561198037222425,0.552056137406549,0.0,0.0,0.44794386259345104,0.0
76561198037246903,0.3029307295137021,0.17809304072716217,0.208774311132631,0.23607130390488362,0.07413061472162111
76561198041304371,0.4897922070112989,0.0,0.0,0.49256346578314314,0.017644327205557895
76561198045196300,0.0,0.0,1.0,0.0,0.0
76561198046731438,0.0002536922059418364,0.0,0.7703099321246487,0.04446301877807494,0.1849733568913345
76561198048640355,0.0,0.0,1.0,0.0,0.0
76561198061669144,0.5121603476965177,0.0,0.0,0.48783965230348236,0.0
76561198064800033,0.04869592424442397,0.01699785058835627,0.8017651677343995,0.032247522269156025,0.10029353516366435
76561198068123705,0.0,0.0,0.0,0.003826964477790173,0.9961730355222098
76561198088342032,0.0,0.0,0.8950442015282423,0.013783072911528964,0.09117272556022887
76561198105784816,0.19425440868768565,0.8057455913123144,0.0,0.0,0.0
76561198107047766,0.0,0.0,0.10607588624233259,0.8939241137576673,0.0
76561198108773562,0.00768959118404411,0.0,0.7920643309224735,0.040496657040850245,0.15974942085263225
76561198118915505,0.22511268921096098,0.0,0.0,0.0,0.774887310789039
76561198121696622,0.01217563311196983,0.0,0.040663288743961815,0.9471610781440684,0.0
76561198122292277,0.018942733473746736,0.0,0.731850090339316,0.05284802770192594,0.19635914848501135
76561198147075448,0.0,0.0,0.0,0.0,1.0
76561198150437413,0.0,0.0,0.682589805015785,0.052201317636189674,0.26520887734802534
76561198159956177,0.0,0.0,0.7340813792834281,0.04699428626536755,0.2189243344512043
76561198170036259,0.0064553692726864375,0.0,0.8297587252602413,0.032373942117270016,0.13141196334980215
76561198192893105,0.5287686854943185,0.0,0.0,0.47123131450568134,0.0
76561198201248007,0.0,0.0,0.9377419010134849,0.009524863447877108,0.05273323553863803
76561198336656213,0.0,0.9782550347723602,0.0,0.0,0.02174496522763978
76561198353192608,0.0,0.8781443575487375,0.0,0.015086385459618084,0.10676925699164445
76561198796747013,0.0,0.0,0.7779476955651132,0.03620108258755942,0.18585122184732725
76561198829145577,0.0,0.0,0.6673876755987265,0.05504193110650097,0.2775703932947725
76561198961717161,0.0,0.0,0.6692146515360274,0.055887267635698554,0.27489808082827394
76561198975545285,0.0,0.0,0.8970827779534185,0.015818994169185162,0.08709822787739623
76561199027285610,0.0,0.0,0.6890021091237258,0.0557370961601562,0.25526079471611784
76561199122194203,0.0,0.0,0.6592995782820488,0.2875029331080256,0.05319748860992549
