Steamid,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561197960269409,-0.11595723632154208,0.45747737088286133,0.29224461493887727,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,-2.0889318714683736,0.7161148740394329,0.36689969285267143,1.7928429140015905,-0.23145502494313788,-0.7433919416750281,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,1.194856761283118,-1.6471355665305885,0.4398405791982261,0.11976540578084736,1.3232502571794404,-0.22542955918706883,-0.6908456993123843
76561197962437769,-0.024939804707737327,-0.9418192457575105,-0.4700213351312992,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,0.4787135538781688,-1.3964240043768943,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,1.1070859750556155,0.1334503571107943,-1.2208396822196024,0.025262864176791154,-0.5434447501203772,-0.22542955918706883,1.0710482986647383
76561197963260222,-0.0097702327721031,0.6695792585903522,-0.09463842951073209,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,0.4787135538781688,-1.3964240043768943,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,1.0932332625828407,0.11996106981048105,-1.2208396822196024,0.010347690312514875,-0.5434447501203772,-0.22542955918706883,1.0577006168618814
76561197970698176,-0.7682488295538079,-0.8165735609347612,-0.2800194534242821,-0.7433919416750281,2.5248762345905194,-0.3668996928526714,-0.7993052538854534,-2.0889318714683736,-1.3964240043768943,0.36689969285267143,1.7928429140015905,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,3.007267568027498,-0.356392548066193,-0.7214720713506865,-1.6471355665305885,-1.2208396822196024,1.201742675812653,2.3021269073488573,-0.22542955918706883,2.123887395016922
76561197977935089,0.02815369706698216,-0.17546921257003684,1.9318941691004061,-0.7433919416750281,2.5248762345905194,-0.3668996928526714,-0.7993052538854534,0.4787135538781688,-1.3964240043768943,-2.7255405754769875,-0.5577733510227171,4.320493798938573,1.3451854182690988,-0.6944784178907123,1.6826543515874641,-0.356392548066193,-0.7214720713506865,0.08711540742495898,-1.2208396822196024,-1.9435400859077119,-0.5434447501203772,2.8174817096333364,1.025199755966449
76561197983588742,0.4377321393291026,1.1460887031458702,-0.45224318099379446,-0.7433919416750281,-0.3960590171906697,2.7255405754769875,-0.7993052538854534,0.4787135538781688,0.7161148740394329,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,-0.7433919416750281,-0.6944784178907123,-0.38626533885220726,1.6501726897082412,-0.7214720713506865,-0.20282128791126225,0.06451655726788087,-0.3465544112261643,-0.5434447501203772,-0.22542955918706883,-0.6908456993123843
76561197985705149,-0.41934867503422396,-0.7781840789967542,-1.2235407145335433,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,-2.0889318714683736,0.7161148740394329,0.36689969285267143,1.7928429140015905,-0.23145502494313788,-0.7433919416750281,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,1.5598717770228903,-1.6471355665305885,0.7561606289920983,0.5127759756262876,1.6788112109508342,-0.22542955918706883,-0.6908456993123843
76561197986997483,0.4832408551360047,-0.2575267302125276,-1.1060008308726432,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,-2.0889318714683736,0.7161148740394329,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,0.7347048531430858,-1.6471355665305885,0.04107541004318513,-0.37567877003494665,-0.5434447501203772,-0.22542955918706883,0.712243137982467
76561197992783558,1.567865248533842,2.3270451412638247,0.9390397645059011,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,0.4787135538781688,-1.3964240043768943,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,0.29353260695111677,-0.658759481797448,-1.2208396822196024,-0.8506876009031785,-0.5434447501203772,-0.22542955918706883,0.28715478261559485
76561197996907347,1.4085847432096845,0.01503859154732531,-0.9251860725527458,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,0.4787135538781688,-1.3964240043768943,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,0.3407944655860123,-0.6127375355016698,-1.2208396822196024,-0.7998008998275793,-0.5434447501203772,-0.22542955918706883,0.3326936077164542
76561197996986882,0.3087907778762129,-0.10396880246049782,-0.018478259566107595,-0.7433919416750281,-0.3960590171906697,-0.3668996928526714,1.2510864843424485,-2.0889318714683736,-1.3964240043768943,0.36689969285267143,1.7928429140015905,-0.23145502494313788,1.3451854182690988,-0.6944784178907123,-0.38626533885220726,-0.356392548066193,0.8441560598860819,-1.6471355665305885,-1.2208396822196024,-0.25783298485496753,0.9816328702226109,-0.22542955918706883,0.817704063661492
76561197998141809,0.12675591464860342,1.0817863208997076,1.1187799591809526,-0.7433919416750281,2.5248762345905194,-0.3668996928526714,-0.7993052538854534,0.4787135538781688,0.7161148740394329,0.36689969285267143,-0.5577733510227171,-0.23145502494313788,-0.7433919416750281,-0.6944784178907123,1.5872786211771248,-0.356392548066193,-0.7214720713506865,0.007167667490838193,0.2513945920869832,-0.11436855072281889,-0.5434447501203772,-0.22542955918706883,-0.6908456993123843
