,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
archetype_1,0.1368715083798882,0.2970359660220495,0.3606475989027615,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.616,0.608,0.62,0.0,0.0
archetype_2,0.2388268156424581,0.426712452557383,0.1913393636305729,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5634674922600619,0.0,0.4705882352941177,0.4767801857585139,0.4705882352941177,0.0,0.0,0.0
archetype_3,0.4650837988826816,0.4883426712452557,0.2098345406135363,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3134020618556701,0.0,0.0,0.0,0.3134020618556701,0.3175257731958762,0.3134020618556701,0.0,0.0,0.0
archetype_4,0.0432960893854748,0.0962407373938189,0.2443438267353571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8469945355191257,0.8306010928961749,0.0,0.8306010928961749,0.0,0.0,0.8469945355191257
archetype_5,0.0307262569832402,0.0737393818904753,0.1137527104505106,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8850574712643678,0.0,0.0,0.8735632183908046,0.8850574712643678,0.8735632183908046,0.0,0.0,0.0
