,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561197960269409,0.1368715083798882,0.2970359660220495,0.3606475989027615,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.616,0.608,0.62,0.0,0.0
76561197962437769,0.1536312849162011,0.0335261160310862,0.1872963317368841,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5916030534351144,0.5801526717557252,0.0,0.5801526717557252,0.0,0.0,0.5916030534351144
76561197963260222,0.1564245810055866,0.3369781312127236,0.2726643090888089,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5871212121212122,0.5757575757575758,0.0,0.5757575757575758,0.0,0.0,0.5871212121212122
76561197970698176,0.0167597765363128,0.0571118742092897,0.2305057482860298,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9390243902439024,0.0,0.0,0.0,0.0,0.926829268292683,0.9451219512195124,0.0,0.9451219512195124
76561197977935089,0.1634078212290503,0.1778420386770287,0.7335296985107781,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5724907063197026,0.0,0.0,0.5650557620817843,0.0,0.0,0.0,0.5650557620817843,0.5762081784386617
76561197983588742,0.2388268156424581,0.426712452557383,0.1913393636305729,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5634674922600619,0.0,0.4705882352941177,0.4767801857585139,0.4705882352941177,0.0,0.0,0.0
76561197985705149,0.0810055865921787,0.0643412253750225,0.0159341723207394,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.738095238095238,0.0,0.7333333333333334,0.7238095238095239,0.7380952380952381,0.0,0.0
76561197986997483,0.2472067039106145,0.1623893005602747,0.0426645907177188,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4711246200607902,0.0,0.4680851063829787,0.4620060790273556,0.0,0.0,0.4711246200607902
76561197992783558,0.4469273743016759,0.6491053677932406,0.5077389897275313,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3283898305084746,0.3220338983050847,0.0,0.3220338983050847,0.0,0.0,0.3283898305084746
76561197996907347,0.4175977653631285,0.2137176938369781,0.0837847108990813,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3436807095343681,0.3370288248337029,0.0,0.3370288248337029,0.0,0.0,0.3436807095343681
