,Game Count (z),Playtime (z),Achievement (z)
Arketipe 1,1.5969048044775804,1.0879997612865804,0.012411778871915947
Arketipe 2,-0.6867430730215203,-1.0515200888368867,0.5862330785295461
Arketipe 3,-1.1420429953762847,0.13511581914772153,-0.01695753511043852
Arketipe 4,0.23188126392023412,-0.17159549159741858,-0.5816873222910269
