Arketipe,jumlah_game_z,total_waktu_z,total_achievements_z
Arketipe 1,0.15932920788353683,0.1085538346789424,0.0012383699332252497
Arketipe 2,-0.06189752627478337,-0.09477560806092623,0.052838359507257245
Arketipe 3,-0.0971126945857461,0.011489463471795372,-0.001441970166424822
Arketipe 4,0.02084792537047223,-0.015427766531249734,-0.05229820503412805
