topic,keywords
0,"de, lortespil, le, bir, nicht, oyun, jeu, vous, en, des"
1,"game, story, great, good, really, like, fun, play, gameplay, one"
2,"game, like, get, feel, make, play, card, character, one, even"
3,"game, good, fun, friend, awesome, great, relax, ever, long, excellent"
4,"game, play, like, really, get, content, much, make, even, still"
5,"game, crash, per, frame, second, fix, still, get, pc, issue"
6,"survival, kill, zombie, creepy, horror, scare, game, scary, know, shoot"
7,"buy, play, sale, get, refund, game, give, imersive, efootball, pe"
8,"free, pay, content, downloadable, make, come, game, campaign, online, buy"
